t,V1,V2,V3,V4,V5
1.220000000000000077e-02,5.425443318373374124e-01,3.175281992989310159e-02,1.264338268376990820e-03,3.807383930216552725e-05,9.397064163321500580e-07
1.230000000000000017e-02,5.464872924524839526e-01,3.223462845209912331e-02,1.293812334813336214e-03,3.927649191839444086e-05,9.774208565032553165e-07
1.240000000000000130e-02,5.504228578553446161e-01,3.271943930075998236e-02,1.323711555360329540e-03,4.050643676225005934e-05,1.016313263178343903e-06
1.250000000000000069e-02,5.543510458144141895e-01,3.320723952409912472e-02,1.354038100861176732e-03,4.176404630906744290e-05,1.056409923620407859e-06
1.260000000000000009e-02,5.582718740497699672e-01,3.369801621610443720e-02,1.384794125278608189e-03,4.304969447664206068e-05,1.097737471830081878e-06
1.270000000000000122e-02,5.621853602332140820e-01,3.419175651637168523e-02,1.415981765775677645e-03,4.436375660587144905e-05,1.140322889631132965e-06
1.280000000000000061e-02,5.660915219884158356e-01,3.468844760994847093e-02,1.447603142796224495e-03,4.570660944151723671e-05,1.184193507735575569e-06
1.290000000000000001e-02,5.699903768910526969e-01,3.518807672717877422e-02,1.479660360145000457e-03,4.707863111308683174e-05,1.229377006788554910e-06
1.300000000000000114e-02,5.738819424689516335e-01,3.569063114354796562e-02,1.512155505067461865e-03,4.848020111583422871e-05,1.275901418393135511e-06
1.310000000000000053e-02,5.777662362022296660e-01,3.619609817952839509e-02,1.545090648329228893e-03,4.991170029187933931e-05,1.323795126115135743e-06
1.319999999999999993e-02,5.816432755234342000e-01,3.670446520042549426e-02,1.578467844295213885e-03,5.137351081144526390e-05,1.373086866468145616e-06
1.330000000000000106e-02,5.855130778176824702e-01,3.721571961622439223e-02,1.612289131008418997e-03,5.286601615421290085e-05,1.423805729878865882e-06
1.340000000000000045e-02,5.893756604228012064e-01,3.772984888143707249e-02,1.646556530268404898e-03,5.438960109079230411e-05,1.475981161632903536e-06
1.349999999999999985e-02,5.932310406294653005e-01,3.824684049495004345e-02,1.681272047709431389e-03,5.594465166431024687e-05,1.529642962801161801e-06
1.360000000000000098e-02,5.970792356813363622e-01,3.876668199987252927e-02,1.716437672878272759e-03,5.753155517211338161e-05,1.584821291146958202e-06
1.370000000000000037e-02,6.009202627752007198e-01,3.928936098338519506e-02,1.752055379311707019e-03,5.915070014758642714e-05,1.641546662014006054e-06
1.380000000000000150e-02,6.047541390611070877e-01,3.981486507658936469e-02,1.788127124613681602e-03,6.080247634208478644e-05,1.699849949195392758e-06
1.390000000000000090e-02,6.085808816425035683e-01,4.034318195435676602e-02,1.824654850532156630e-03,6.248727470698110732e-05,1.759762385783688328e-06
1.400000000000000029e-02,6.124005075763746531e-01,4.087429933517980341e-02,1.861640483035627031e-03,6.420548737582508134e-05,1.821315565002316488e-06
1.410000000000000142e-02,6.162130338733775581e-01,4.140820498102231600e-02,1.899085932389324612e-03,6.595750764661608768e-05,1.884541441018320051e-06
1.420000000000000082e-02,6.200184774979777824e-01,4.194488669717085644e-02,1.936993093231100926e-03,6.774372996418792333e-05,1.949472329736650608e-06
1.430000000000000021e-02,6.238168553685851103e-01,4.248433233208649684e-02,1.975363844646993352e-03,6.956454990270525347e-05,2.016140909576115933e-06
1.440000000000000134e-02,6.276081843576882813e-01,4.302652977725711370e-02,2.014200050246474794e-03,7.142036414827107062e-05,2.084580222227108969e-06
1.450000000000000074e-02,6.313924812919898821e-01,4.357146696705019306e-02,2.053503558237388098e-03,7.331157048164468816e-05,2.154823673391255005e-06
1.460000000000000013e-02,6.351697629525404620e-01,4.411913187856612156e-02,2.093276201500566484e-03,7.523856776106971269e-05,2.226905033503098775e-06
1.470000000000000126e-02,6.389400460748724253e-01,4.466951253149201162e-02,2.133519797664142591e-03,7.720175590521141228e-05,2.300858438433960889e-06
1.480000000000000066e-02,6.427033473491334803e-01,4.522259698795599164e-02,2.174236149177545714e-03,7.920153587620292520e-05,2.376718390178094235e-06
1.490000000000000005e-02,6.464596834202195330e-01,4.577837335238202354e-02,2.215427043385188085e-03,8.123830966279984808e-05,2.454519757521259368e-06
1.500000000000000118e-02,6.502090708879074699e-01,4.633682977134519210e-02,2.257094252599844107e-03,8.331248026364253961e-05,2.534297776691851860e-06
1.510000000000000057e-02,6.539515263069870521e-01,4.689795443342749393e-02,2.299239534175719513e-03,8.542445167062569255e-05,2.616088051994702335e-06
1.519999999999999997e-02,6.576870661873930324e-01,4.746173556907413299e-02,2.341864630581217809e-03,8.757462885237457756e-05,2.699926556427672399e-06
1.530000000000000110e-02,6.614157069943362721e-01,4.802816145045030183e-02,2.384971269471397939e-03,8.976341773782748473e-05,2.785849632281174827e-06
1.540000000000000049e-02,6.651374651484347478e-01,4.859722039129843463e-02,2.428561163760129676e-03,9.199122519992376638e-05,2.873893991720736139e-06
1.549999999999999989e-02,6.688523570258442241e-01,4.916890074679598766e-02,2.472636011691946734e-03,9.425845903939695256e-05,2.964096717352725247e-06
1.560000000000000102e-02,6.725603989583883724e-01,4.974319091341364296e-02,2.517197496913596740e-03,9.656552796867250567e-05,3.056495262773372684e-06
1.570000000000000215e-02,6.762616072336883333e-01,5.032007932877407413e-02,2.562247288545292830e-03,9.891284159586955004e-05,3.151127453101196031e-06
1.580000000000000154e-02,6.799559980952925020e-01,5.089955447151112145e-02,2.607787041251663843e-03,1.013008104089061564e-04,3.248031485492956488e-06
1.590000000000000094e-02,6.836435877428049812e-01,5.148160486112950129e-02,2.653818395312408738e-03,1.037298457597075847e-04,3.347245929643263887e-06
1.600000000000000033e-02,6.873243923320145887e-01,5.206621905786496668e-02,2.700342976692651775e-03,1.062003598485170659e-04,3.448809728267950028e-06
1.609999999999999973e-02,6.909984279750226444e-01,5.265338566254496033e-02,2.747362397113005394e-03,1.087127657083084708e-04,3.552762197571328044e-06
1.619999999999999912e-02,6.946657107403709785e-01,5.324309331644972582e-02,2.794878254119334722e-03,1.112674771893004883e-04,3.659143027697456408e-06
1.630000000000000199e-02,6.983262566531691640e-01,5.383533070117391822e-02,2.842892131152231078e-03,1.138649089435716876e-04,3.767992283165524032e-06
1.640000000000000138e-02,7.019800816952217470e-01,5.443008653848865896e-02,2.891405597616194048e-03,1.165054764097760734e-04,3.879350403289472926e-06
1.650000000000000078e-02,7.056272018051545913e-01,5.502734959020409017e-02,2.940420208948519958e-03,1.191895957979584411e-04,3.993258202581977016e-06
1.660000000000000017e-02,7.092676328785411100e-01,5.562710865803238702e-02,2.989937506687902376e-03,1.219176840744692761e-04,4.109756871142884248e-06
1.669999999999999957e-02,7.129013907680281648e-01,5.622935258345121423e-02,3.039959018542744227e-03,1.246901589469784637e-04,4.228887975032249480e-06
1.680000000000000243e-02,7.165284912834614106e-01,5.683407024756769593e-02,3.090486258459181068e-03,1.275074388495874586e-04,4.350693456628059359e-06
1.690000000000000183e-02,7.201489501920104175e-01,5.744125057098281584e-02,3.141520726688817704e-03,1.303699429280393040e-04,4.475215634968771605e-06
1.700000000000000122e-02,7.237627832182932375e-01,5.805088251365628921e-02,3.193063909856182041e-03,1.332780910250261331e-04,4.602497206080774553e-06
1.710000000000000062e-02,7.273700060445006388e-01,5.866295507477189974e-02,3.245117281025891413e-03,1.362323036655935856e-04,4.732581243290888107e-06
1.720000000000000001e-02,7.309706343105203397e-01,5.927745729260328750e-02,3.297682299769538316e-03,1.392330020426415550e-04,4.865511197524006879e-06
1.729999999999999941e-02,7.345646836140600211e-01,5.989437824438021557e-02,3.350760412232292942e-03,1.422806080025209967e-04,5.001330897586004957e-06
1.740000000000000227e-02,7.381521695107706726e-01,6.051370704615526702e-02,3.404353051199226002e-03,1.453755440307261180e-04,5.140084550432009032e-06
1.750000000000000167e-02,7.417331075143694941e-01,6.113543285267101363e-02,3.458461636161350942e-03,1.485182332376815183e-04,5.281816741420148287e-06
1.760000000000000106e-02,7.453075130967620199e-01,6.175954485722763565e-02,3.513087573381387316e-03,1.517090993446238432e-04,5.426572434550895420e-06
1.770000000000000046e-02,7.488754016881641329e-01,6.238603229155098573e-02,3.568232255959248329e-03,1.549485666695774673e-04,5.574396972692103813e-06
1.779999999999999985e-02,7.524367886772238556e-01,6.301488442566112458e-02,3.623897063897249526e-03,1.582370601134235803e-04,5.725336077789845893e-06
1.789999999999999925e-02,7.559916894111425867e-01,6.364609056774128693e-02,3.680083364165045133e-03,1.615750051460624606e-04,5.879435851065166177e-06
1.800000000000000211e-02,7.595401191957956710e-01,6.427964006400728458e-02,3.736792510764287700e-03,1.649628277926682579e-04,6.036742773196852353e-06
1.810000000000000150e-02,7.630820932958531921e-01,6.491552229857738832e-02,3.794025844793015405e-03,1.684009546200358526e-04,6.197303704490332797e-06
1.820000000000000090e-02,7.666176269349000982e-01,6.555372669334262603e-02,3.851784694509768295e-03,1.718898127230193294e-04,6.361165885032802190e-06
1.830000000000000029e-02,7.701467352955557732e-01,6.619424270783752506e-02,3.910070375397432622e-03,1.754298297110617143e-04,6.528376934834685337e-06
1.839999999999999969e-02,7.736694335195936079e-01,6.683705983911134019e-02,3.968884190226814115e-03,1.790214336948152960e-04,6.698984853957539987e-06
1.850000000000000255e-02,7.771857367080597934e-01,6.748216762159962856e-02,4.028227429119946718e-03,1.826650532728522349e-04,6.873038022628504541e-06
1.860000000000000195e-02,7.806956599213923376e-01,6.812955562699639367e-02,4.088101369613127666e-03,1.863611175184648624e-04,7.050585201341392277e-06
1.870000000000000134e-02,7.841992181795389705e-01,6.877921346412650683e-02,4.148507276719690627e-03,1.901100559665554537e-04,7.231675530944538833e-06
1.880000000000000074e-02,7.876964264620753831e-01,6.943113077881872541e-02,4.209446402992511257e-03,1.939122986006146623e-04,7.416358532715501198e-06
1.890000000000000013e-02,7.911872997083226888e-01,7.008529725377903030e-02,4.270919988586248210e-03,1.977682758397884778e-04,7.604684108422709846e-06
1.899999999999999953e-02,7.946718528174644414e-01,7.074170260846444902e-02,4.332929261319320470e-03,2.016784185260330604e-04,7.796702540374179065e-06
1.910000000000000239e-02,7.981501006486637628e-01,7.140033659895726748e-02,4.395475436735624478e-03,2.056431579113570957e-04,7.992464491453369482e-06
1.920000000000000179e-02,8.016220580211796953e-01,7.206118901783974129e-02,4.458559718165985841e-03,2.096629256451512397e-04,8.192021005142314608e-06
